Name,Latitude,Longitude,Address,Categories,Rating,Google Maps URL
Phòng Khám Y Học Tuệ An- Chi Nhánh Quận 7,10.7410575,106.70587689999999,"Phòng Khám Y Học Tuệ An- Chi Nhánh Quận 7, 77B Đ. Số 77, Tân Hưng, Hồ Chí Minh 008428, Việt Nam",Bác sĩ nắn xương,4.7,https://www.google.com/maps/place/?q=place_id:ChIJ63TKIq4vdTERQjL2d0ReHWY
Phòng khám Y Học Cổ Truyền S.O.I,10.7408393,106.6994296,"Phòng khám Y Học Cổ Truyền S.O.I, 18 Nguyễn Thị Thập, Khu đô thị Him Lam, Tân Hưng, Hồ Chí Minh 07000, Việt Nam","Phòng khám chuyên khoa, Phòng khám vật lý trị liệu",4.9,https://www.google.com/maps/place/?q=place_id:ChIJNyALVQAvdTER2CrxQmwAkkc
Phòng Khám Nhi Đồng Zen,10.7403398,106.7137972,"Phòng Khám Nhi Đồng Zen, 39 Mai Văn Vĩnh, Tân Hưng, Hồ Chí Minh 700000, Việt Nam","Phòng khám nhi khoa, Trung tâm chăm sóc sức khỏe trẻ em, Bác sĩ chuyên khoa tâm lý trẻ em, Phòng khám, Bệnh viện tự do",5,https://www.google.com/maps/place/?q=place_id:ChIJSfojVg09VggRUIno7-RM4Fg
Phòng khám Sản Phụ khoa Dr.Marie HCM02,10.7409397,106.6963973,"Phòng khám Sản Phụ khoa Dr.Marie HCM02, 111 Nguyễn Thị Thập, Khu dân cư Him Lam, Tân Hưng, Hồ Chí Minh 700000, Việt Nam",Phòng khám sức khỏe sinh sản,5,https://www.google.com/maps/place/?q=place_id:ChIJfyW7M4cvdTERkH1ZTd7X26k
"Bác Sĩ Nguyễn Kinh Quốc, chuyên khoa Nội Thần Kinh",10.7383907,106.7049744,"Bác Sĩ Nguyễn Kinh Quốc, chuyên khoa Nội Thần Kinh, 207 Đ. Số 30, Khu dân cư Tân Quy Đông, Tân Hưng, Hồ Chí Minh, Việt Nam",Phòng khám thần kinh,4.7,https://www.google.com/maps/place/?q=place_id:ChIJaUzJaZkvdTERagEf98-VHq0
Phòng Khám Y Học Cổ Truyền Sài Gòn - Chi Nhánh Quận 7,10.742151999999999,106.69530379999999,"Phòng Khám Y Học Cổ Truyền Sài Gòn - Chi Nhánh Quận 7, 29 Đ. số 9, Khu đô thị Him Lam, Tân Hưng, Hồ Chí Minh 70000, Việt Nam",Phòng khám,4.7,https://www.google.com/maps/place/?q=place_id:ChIJEyhSCYkvdTER2otEwI62hts
Phòng khám đa khoa ViNa CSSK,10.7302064,106.7072058,"Phòng khám đa khoa ViNa CSSK, Đ. số 6/30 Khu Phố Hưng Phước 3, Khu đô thị, Tân Hưng, Hồ Chí Minh 700000, Việt Nam",Bệnh viện,2.3,https://www.google.com/maps/place/?q=place_id:ChIJQ28QTUEvdTERstL-O1VzX3E
Happy Eyes Center Quận 7,10.7446427,106.6995115,"Happy Eyes Center Quận 7, B46 Đường 4A, Khu đô thị Him Lam, Tân Hưng, Hồ Chí Minh 72900, Việt Nam",Trung tâm chăm sóc mắt,4.1,https://www.google.com/maps/place/?q=place_id:ChIJ5WhsAoIvdTER_4wzg2WvcE0
Phòng Khám Bác Sĩ Nguyễn Huy Luân,10.7396428,106.70421599999999,"Phòng Khám Bác Sĩ Nguyễn Huy Luân, 587 Nguyễn Thị Thập, Tân Hưng, Hồ Chí Minh, Việt Nam",Phòng khám,5,https://www.google.com/maps/place/?q=place_id:ChIJ6yt3M5kvdTERWzrwFTWX9N4
Phòng Khám Ngoài Giờ - Bs Bảo,10.7448432,106.71033639999999,"Phòng Khám Ngoài Giờ - Bs Bảo, 191 Số 17, Tân Hưng, Hồ Chí Minh, Việt Nam",Phòng khám,1,https://www.google.com/maps/place/?q=place_id:ChIJzSJVXp0vdTERizhyriR1pcQ
